"","Actinobacteria","Bacteroidetes","Proteobacteria","Firmicutes"
"F3D0",0.1111111111111111,0.3333333333333333,0.1111111111111111,0.4444444444444444
"F3D1",0.01910828025477707,0.16560509554140126,0.022292993630573247,0.7929936305732485
"F3D2",0.01744186046511628,0.09883720930232558,0.01744186046511628,0.8662790697674418
"F3D3",0.012578616352201259,0.1069182389937107,0.025157232704402517,0.8553459119496856
"F3D5",0.020512820512820513,0.15897435897435896,0.010256410256410256,0.8102564102564103
"F3D6",0.022388059701492536,0.16417910447761194,0.014925373134328358,0.7985074626865671
"F3D7",0.006944444444444444,0.10416666666666667,0.013888888888888888,0.875
"F3D8",0.011976047904191617,0.10778443113772455,0.011976047904191617,0.8682634730538922
"F3D9",0.022900763358778626,0.11450381679389313,0.015267175572519083,0.8473282442748091
